Giocatore;Ruolo;Squadra_giocatore;Cartellini Gialli_per90;Cartellini Rossi_per90;Falli_per90;Fallo Subito_per90;Intercettazioni_per90;Tackle Vinti_per90;Recupero Palla_per90;Aerei Vinti_per90;Aerei Persi_per90;Minuti Giocati
Juan Musso;Por;Atalanta;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0
Junior Ajayi;Att;Hellas Verona;;;;;;;;;;0.0
Junior Messias;Cen.Att;Genoa;0.16666666666666666;0.0;0.5;1.6666666666666667;0.8333333333333334;0.8333333333333334;3.6666666666666665;1.8333333333333333;2.8333333333333335;6.0
Junior Sambia;Dif.Att;Empoli;0.0;0.0;1.111111111111111;0.7407407407407407;0.37037037037037035;2.962962962962963;4.814814814814815;1.4814814814814814;1.111111111111111;2.7
Jurgen Ekkelenkamp;Cen;Udinese;0.0625;0.0;1.5;0.8125;0.625;1.25;4.3125;0.75;0.6875;16.0
Kacper Urbanski;Cen;Monza;0.0;0.0;1.0869565217391306;0.6521739130434783;0.4347826086956522;0.4347826086956522;3.695652173913044;0.8695652173913044;2.3913043478260874;4.6
Karol Linetty;Cen;Torino;0.4225352112676057;0.0;2.1126760563380285;0.7746478873239437;0.8450704225352114;1.4788732394366197;3.802816901408451;0.4225352112676057;0.7746478873239437;14.2
Keinan Davis;Att;Udinese;0.2531645569620253;0.0;2.0253164556962022;1.3924050632911391;0.12658227848101264;0.37974683544303794;3.4177215189873418;2.6582278481012658;2.4050632911392404;7.9
Keita Baldé Diao;Att;Monza;0.25641025641025644;0.0;1.5384615384615385;3.58974358974359;0.25641025641025644;0.25641025641025644;1.2820512820512822;0.7692307692307693;2.5641025641025643;3.9
Kenan Yıldız;Att.Cen;Juventus;0.04587155963302752;0.0;0.8715596330275229;1.9724770642201834;0.2293577981651376;1.238532110091743;4.036697247706422;0.27522935779816515;1.146788990825688;21.8
Kevin Bonifazi;Dif;Lecce;0.0;0.0;0.0;0.0;2.857142857142857;1.4285714285714286;10.0;1.4285714285714286;1.4285714285714286;0.7
Kevin Martins;Cen.Dif;Monza;0.5;0.0;1.5;2.0;0.5;2.0;6.0;1.0;0.5;2.0
Kevin Zeroli;Cen;Monza;0.0;0.0;0.8571428571428571;0.2857142857142857;0.5714285714285714;0.2857142857142857;3.7142857142857144;1.1428571428571428;0.5714285714285714;3.5
Khvicha Kvaratskhelia;Att.Cen;Napoli;0.07633587786259542;0.0;0.916030534351145;2.519083969465649;0.3053435114503817;0.6870229007633588;3.435114503816794;0.3053435114503817;0.3816793893129771;13.1
Khéphren Thuram;Cen;Juventus;0.20833333333333334;0.0;1.25;0.9375;0.46875;0.6770833333333334;4.270833333333334;1.1979166666666667;1.1458333333333335;19.2
Kialonda;Dif;Lecce;0.1875;0.0;0.375;0.8125;1.125;0.5625;2.375;3.5;1.625;16.0
Kike Pérez;Cen;Venezia;0.4225352112676057;0.0;1.6901408450704227;1.5492957746478875;0.9859154929577465;2.1126760563380285;5.211267605633803;1.4084507042253522;0.9859154929577465;7.1
Kingsley Ehizibue;Dif;Udinese;0.17937219730941703;0.0;1.210762331838565;1.210762331838565;0.852017937219731;1.2556053811659191;4.125560538116591;1.0762331838565022;1.1659192825112108;22.3
Kingstone Mutandwa;Cen.Att;Cagliari;0.0;0.0;4.444444444444445;1.1111111111111112;0.0;0.0;4.444444444444445;1.1111111111111112;2.2222222222222223;0.9
Konan N'dri;Att;Lecce;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0
Koni De Winter;Dif;Genoa;0.29239766081871343;0.0;1.7543859649122806;0.5847953216374269;0.8771929824561403;0.935672514619883;4.385964912280701;3.6842105263157894;1.5789473684210524;17.1
Kristjan Asllani;Cen;Inter;0.5714285714285714;0.0;1.1428571428571428;1.8571428571428572;0.7142857142857143;0.2857142857142857;5.428571428571429;0.42857142857142855;0.42857142857142855;7.0
Kyle Walker;Dif;Milan;0.0;0.0;0.8771929824561403;0.5263157894736842;1.0526315789473684;1.4035087719298245;5.964912280701754;0.8771929824561403;0.3508771929824561;5.7
Lameck Banda;Att.Cen;Lecce;0.1639344262295082;0.0;1.4754098360655739;2.9508196721311477;0.3278688524590164;0.819672131147541;3.934426229508197;0.3278688524590164;2.1311475409836067;6.1
Lassana Coulibaly;Cen;Lecce;0.08888888888888889;0.0;1.2444444444444445;1.5555555555555556;0.6666666666666666;0.9777777777777777;5.111111111111111;0.9333333333333333;1.2444444444444445;22.5
Lautaro Gianetti;Dif;Udinese;0.4301075268817204;0.0;0.6451612903225806;0.0;1.6129032258064515;1.075268817204301;2.6881720430107525;2.7956989247311825;1.2903225806451613;9.3
Lautaro Martínez;Att;Inter;0.0;0.0;1.3147410358565736;1.5537848605577689;0.3585657370517928;0.597609561752988;2.7091633466135456;1.195219123505976;1.4342629482071712;25.1
Lautaro Valenti;Dif;Parma;0.2727272727272727;0.0;1.0;0.09090909090909091;0.5454545454545454;0.9090909090909091;2.8181818181818183;1.5454545454545454;1.1818181818181819;11.0
Lazar Samardzic;Cen.Att;Atalanta;0.2631578947368421;0.0;1.4035087719298245;0.7017543859649122;0.17543859649122806;1.0526315789473684;3.9473684210526314;0.2631578947368421;1.4912280701754386;11.4
Leandro Chichizola;Por;Parma;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Leandro Paredes;Cen;Roma;0.2380952380952381;0.0;1.0317460317460319;0.9523809523809524;1.3492063492063493;1.1111111111111112;5.476190476190476;0.5555555555555556;0.15873015873015872;12.6
Leonardo Pavoletti;Att.Cen;Cagliari;0.8108108108108107;0.0;5.135135135135135;0.8108108108108107;0.0;0.0;2.4324324324324325;11.35135135135135;8.91891891891892;3.7
Leonardo Spinazzola;Dif.Att;Napoli;0.09259259259259259;0.0;0.4629629629629629;0.5555555555555555;0.37037037037037035;0.7407407407407407;3.796296296296296;0.27777777777777773;0.27777777777777773;10.8
Lewis Ferguson;Cen;Bologna;0.0;0.0;3.0379746835443036;1.5189873417721518;0.37974683544303794;1.1392405063291138;2.7848101265822782;1.0126582278481011;1.3924050632911391;7.9
Liam Henderson;Cen;Empoli;0.4368932038834951;0.0;3.1553398058252426;0.8737864077669902;0.6310679611650485;0.8252427184466019;3.203883495145631;0.4368932038834951;0.8737864077669902;20.6
Liberato Cacace;Dif.Cen;Empoli;0.2173913043478261;0.0;1.032608695652174;0.7608695652173914;0.8695652173913044;1.0869565217391306;3.91304347826087;1.7934782608695654;1.9021739130434785;18.4
Lior Kasa;Cen.Att;Genoa;1.1764705882352942;0.0;1.1764705882352942;1.7647058823529411;1.1764705882352942;1.7647058823529411;6.470588235294118;0.5882352941176471;1.7647058823529411;1.7
Lloyd Kelly;Dif;Juventus;0.18867924528301888;0.0;1.509433962264151;0.5660377358490566;0.18867924528301888;1.1320754716981132;4.528301886792453;3.3962264150943398;3.018867924528302;5.3
Lorenzo Anghelè;Att;Juventus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.1
Lorenzo Colombo;Att.Cen;Empoli;0.1382488479262673;0.0;1.7972350230414746;1.566820276497696;0.09216589861751152;0.5529953917050692;2.857142857142857;2.165898617511521;4.838709677419355;21.7
Lorenzo De Silvestri;Dif;Bologna;0.11764705882352941;0.0;1.8823529411764706;0.7058823529411765;0.8235294117647058;0.7058823529411765;2.235294117647059;1.1764705882352942;1.411764705882353;8.5
Lorenzo Lucca;Att;Udinese;0.3493449781659389;0.0;2.4017467248908297;1.9650655021834063;0.2183406113537118;0.26200873362445415;1.7467248908296944;2.139737991266376;2.663755458515284;22.9
Lorenzo Montipò;Por;Hellas Verona;0.0;0.0;0.0;0.2413793103448276;0.0;0.0;0.7586206896551724;0.20689655172413793;0.034482758620689655;29.0
Lorenzo Pellegrini;Cen;Roma;0.2469135802469136;0.0;1.4814814814814816;1.5432098765432098;0.308641975308642;0.9259259259259259;3.5185185185185186;0.617283950617284;1.1728395061728396;16.2
Lorenzo Tosto;Dif;Empoli;;;;;;;;;;0.0
Lorenzo Venturino;Att.Cen;Genoa;0.0;0.0;1.4285714285714286;1.4285714285714286;0.0;1.4285714285714286;5.714285714285714;1.4285714285714286;0.0;0.7
Loum Tchaouna;Att.Cen;Lazio;0.6060606060606061;0.15151515151515152;1.5151515151515151;0.9090909090909092;0.4545454545454546;0.6060606060606061;2.272727272727273;0.7575757575757576;3.9393939393939394;6.6
Luca Caldirola;Dif;Monza;0.37037037037037035;0.0;2.4074074074074074;1.2962962962962963;0.7407407407407407;0.5555555555555555;1.6666666666666665;1.6666666666666665;1.4814814814814814;5.4
Luca Marianucci;Dif;Empoli;0.0;0.15625;1.5625;0.3125;1.09375;1.25;3.90625;2.65625;2.96875;6.4
Luca Mazzitelli;Cen;Como;0.27027027027027023;0.0;2.4324324324324325;1.081081081081081;0.8108108108108107;1.6216216216216215;3.7837837837837838;0.5405405405405405;1.6216216216216215;3.7
Luca Pellegrini;Dif;Lazio;0.31746031746031744;0.0;1.9047619047619049;1.2698412698412698;2.0634920634920637;1.1111111111111112;4.444444444444445;0.7936507936507937;0.9523809523809524;6.3
Luca Ranieri;Dif;Fiorentina;0.14492753623188406;0.0;0.5434782608695652;0.5797101449275363;0.8333333333333333;0.5797101449275363;2.608695652173913;1.3768115942028984;1.7028985507246377;27.6
Lucas Beltrán;Cen.Att;Fiorentina;0.17341040462427745;0.0;1.2138728323699421;2.0231213872832368;0.23121387283236994;0.5202312138728323;2.9479768786127165;1.1560693641618496;2.658959537572254;17.3
Lucas Da Cunha;Cen;Como;0.13888888888888887;0.0;0.6481481481481481;0.9259259259259258;0.5555555555555555;0.6944444444444444;5.37037037037037;0.5555555555555555;0.7407407407407407;21.6
Lucas Gourna-Douath;Cen;Roma;1.3333333333333333;0.0;2.6666666666666665;1.3333333333333333;0.0;1.3333333333333333;2.6666666666666665;0.0;0.6666666666666666;1.5
Lucas Martínez Quarta;Dif;Fiorentina;0.25641025641025644;0.0;2.0512820512820515;0.5128205128205129;0.7692307692307693;1.794871794871795;3.3333333333333335;3.076923076923077;2.5641025641025643;3.9
Luka Jović;Att.Cen;Milan;0.6666666666666666;0.0;2.0;2.0;0.6666666666666666;0.0;1.3333333333333333;2.0;3.3333333333333335;1.5
Maat Daniel Caprini;Att;Fiorentina;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.1
Maduka Okoye;Por;Udinese;0.058823529411764705;0.0;0.0;0.058823529411764705;0.0;0.0;1.6470588235294117;0.29411764705882354;0.0;17.0
